date,type,category,index
2023-12-01,input,other_goods_and_services,118.02647813091438
2023-12-01,input,goods_and_services_contributing_to_investment,128.1910437700969
2023-12-01,input,materials,122.45898989725741
2023-12-01,input,machinery_and_other_equipment,125.86769310237592
2023-12-01,input,plant_and_machinery_for_cultivation,129.99088422971744
2023-12-01,input,farm_machinery_and_installations,110.66002865247314
2023-12-01,input,transport_equipment,119.7423871389098
2023-12-01,input,tractors,121.13055181695825
2023-12-01,input,other_vehicles,114.05949785940916
2023-12-01,input,buildings,140.49578131611733
2023-11-01,output,all_agricultural_outputs,130.21336122242226
2023-11-01,output,crop_products,129.9196087280702
2023-11-01,output,cereals,129.58637667148827
2023-11-01,output,wheat,119.39299230749889
2023-11-01,output,wheat_feeding,115.61273978392515
2023-11-01,output,wheat_breadmaking,139.56278545899298
2023-11-01,output,wheat_other_milling,120.05826532122266
2023-11-01,output,barley,140.57012958784802
2023-11-01,output,barley_feeding,126.5215577598549
2023-11-01,output,barley_malting,170.19297063387015
2023-11-01,output,oats,160.95556715632307
2023-11-01,output,oats_milling,162.83594952776465
2023-11-01,output,oats_feeding,139.113790886238
2023-11-01,output,potatoes,195.03011628643458
2023-11-01,output,industrial_crops,112.06951660743613
2023-11-01,output,oilseed_rape_non_set_aside,106.9695027017126
2023-11-01,output,sugar_beet,131.412837039082
2023-11-01,output,forage_plants,85.93490534706079
2023-11-01,output,straw,85.93490534706079
2023-11-01,output,fresh_vegetables,138.7673401087638
2023-11-01,output,cauliflowers,204.80959263878643
2023-11-01,output,tomatoes,163.53934785102865
2023-11-01,output,cabbages,123.85995900742049
2023-11-01,output,lettuce,143.4569374631287
2023-11-01,output,carrots,106.36574565783037
2023-11-01,output,onions,151.97819402231326
2023-11-01,output,beans_green,92.91106006449293
2023-11-01,output,mushrooms,109.52432359748343
2023-11-01,output,fresh_fruit,113.82374492184448
2023-11-01,output,dessert_apples,114.6079457265002
2023-11-01,output,cooking_apples,81.77622309041341
2023-11-01,output,dessert_pears,112.71207195777117
2023-11-01,output,strawberries,157.98686782020445
2023-11-01,output,raspberries,114.51124017792935
2023-11-01,output,flowers_and_plants,110.5460833623255
2023-11-01,output,other_crop_products,99.99999999644285
2023-11-01,output,animals_and_animal_products,130.37860728182312
2023-11-01,output,animals_for_slaughter_export,126.4692783350231
2023-11-01,output,cattle_and_calves,133.09762459011557
2023-11-01,output,cattle_clean,136.67758945873027
2023-11-01,output,cows_and_bulls,121.10911826274335
2023-11-01,output,calves,94.48803892980632
2023-11-01,output,pigs,135.40351367406004
2023-11-01,output,pigs_clean,134.72054856467673
2023-11-01,output,sows_and_boars,169.70552457277182
2023-11-01,output,sheep_and_lambs,121.97199029933421
